:ID,lexicalId,writtenForm,partOfSpeech,:LABEL
w239520,w239520,"出生致外伤",n,Lemma
w234731,w234731,"白甘筍",n,Lemma
w230510,w230510,"硬脊膜+的",a,Lemma
w198854,w198854,"跨着",n,Lemma
w246293,w246293,"百万倍",r,Lemma
w256670,w256670,"滨螺科",n,Lemma
w212224,w212224,"唯器官变化论+的",a,Lemma
w210774,w210774,"中生性",a,Lemma
w228592,w228592,"盟邦",n,Lemma
w217309,w217309,"木梃",n,Lemma
w199864,w199864,"上阵",v,Lemma
w249718,w249718,"司法上+的",a,Lemma
w233372,w233372,"巫术",a,Lemma
w233299,w233299,"热战",n,Lemma
w198359,w198359,"复印机",n,Lemma
w242006,w242006,"天花+的",a,Lemma
w220912,w220912,"弗隆",n,Lemma
w195825,w195825,"海星纲",n,Lemma
w229898,w229898,"屋面材料",n,Lemma
w223159,w223159,"使理论化",v,Lemma
w238276,w238276,"双数+的",a,Lemma
w236591,w236591,"杂技演员",n,Lemma
w215920,w215920,"礼拜寺",n,Lemma
w255454,w255454,"普通分类账",n,Lemma
w254418,w254418,"有阀+的",a,Lemma
w252471,w252471,"需要食物",a,Lemma
w204552,w204552,"狩猎袋",n,Lemma
w249604,w249604,"低速档",n,Lemma
w231949,w231949,"坚强",a,Lemma
w249273,w249273,"牙买加元",n,Lemma
w211719,w211719,"窘",n,Lemma
w215101,w215101,"外感受性+的",a,Lemma
w193529,w193529,"嗜铬细胞瘤",n,Lemma
w238990,w238990,"当服务员",v,Lemma
w262329,w262329,"计数管",n,Lemma
w228132,w228132,"使失去活力",v,Lemma
w236427,w236427,"嘟嘟囔囔+的",a,Lemma
w262940,w262940,"拆卸",v,Lemma
w232106,w232106,"淀粉",a,Lemma
w245305,w245305,"加私刑",v,Lemma
w252820,w252820,"法学+的",a,Lemma
w202852,w202852,"油桃",n,Lemma
w250714,w250714,"青鼬",n,Lemma
w235132,w235132,"感到极度痛苦",v,Lemma
w193727,w193727,"费劲地移动",v,Lemma
w204009,w204009,"乳糖尿",n,Lemma
w188632,w188632,"提出疑问",v,Lemma
w263144,w263144,"冠海豹",n,Lemma
w208657,w208657,"过度紧张+的",a,Lemma
w207191,w207191,"神的食物",n,Lemma
w191464,w191464,"电量单位",n,Lemma
w252459,w252459,"三带犰狳属",n,Lemma
w234460,w234460,"自动射线照相",n,Lemma
w227255,w227255,"起着泡沫+的",a,Lemma
w239884,w239884,"覆盆",n,Lemma
w207983,w207983,"消化",n,Lemma
w190555,w190555,"一副耳机",n,Lemma
w198843,w198843,"产双胎",a,Lemma
w197664,w197664,"故意+的",a,Lemma
w254462,w254462,"头晕目眩",a,Lemma
w196715,w196715,"可能",a,Lemma
w190908,w190908,"似杏仁",a,Lemma
w212211,w212211,"腿弯部",a,Lemma
w217623,w217623,"无确定性质",a,Lemma
w216971,w216971,"空气洁净器",n,Lemma
w190044,w190044,"公历年",n,Lemma
w192593,w192593,"小鸟",n,Lemma
w238473,w238473,"诚挚+的",a,Lemma
w206771,w206771,"改变量级",n,Lemma
w247115,w247115,"浑身湿透",a,Lemma
w241252,w241252,"非分析",a,Lemma
w215710,w215710,"轮辖",n,Lemma
w239116,w239116,"交互",v,Lemma
w214013,w214013,"盒式磁带",n,Lemma
w198499,w198499,"库鲁病",n,Lemma
w261161,w261161,"小酒馆",n,Lemma
w233216,w233216,"麻醉性+的",a,Lemma
w222955,w222955,"阿拉姆语",a,Lemma
w224053,w224053,"贫民区+的",a,Lemma
w255330,w255330,"堂哥",n,Lemma
w245698,w245698,"溶质",n,Lemma
w216474,w216474,"吊艇杆",n,Lemma
w197163,w197163,"火炬刺桐",n,Lemma
w240190,w240190,"突袭",n,Lemma
w204343,w204343,"轮子",n,Lemma
w239691,w239691,"雅观",a,Lemma
w251226,w251226,"海笋属",n,Lemma
w227222,w227222,"五元金币",n,Lemma
w251624,w251624,"银行存折",n,Lemma
w244936,w244936,"可忍受+的",a,Lemma
w225595,w225595,"小管",n,Lemma
w211504,w211504,"矿物棉",n,Lemma
w209831,w209831,"石版印刷+的",a,Lemma
w198975,w198975,"脊髓痨",n,Lemma
w260425,w260425,"炭笔",n,Lemma
w258518,w258518,"线鳚科",n,Lemma
w194523,w194523,"广告美术",n,Lemma
w225881,w225881,"值夜",n,Lemma
w213156,w213156,"螺旋",v,Lemma
w189193,w189193,"假公济私",v,Lemma
w207250,w207250,"蝎蛉+的",a,Lemma
w232955,w232955,"波兰人",a,Lemma
w207265,w207265,"伞干顶榈",n,Lemma
w231210,w231210,"回声",n,Lemma
w214951,w214951,"海藻般+的",a,Lemma
w218105,w218105,"宽大+的",a,Lemma
w244280,w244280,"有势力",a,Lemma
w231479,w231479,"菖蒲科",n,Lemma
w217651,w217651,"夜鹭",n,Lemma
w204353,w204353,"小书桌",n,Lemma
w195985,w195985,"翼舱内甲板",n,Lemma
w195646,w195646,"冷淡的",a,Lemma
w202193,w202193,"碘仿",n,Lemma
w205260,w205260,"Rh阳性",a,Lemma
w212137,w212137,"剥夺公权终身",n,Lemma
w205157,w205157,"鹿角羊齿",n,Lemma
w205003,w205003,"篮球场",n,Lemma
w208151,w208151,"尖锐地",r,Lemma
w212011,w212011,"无叶花科",n,Lemma
w207600,w207600,"腹水",n,Lemma
w257192,w257192,"相等",n,Lemma
w239185,w239185,"恢复名誉",n,Lemma
w210116,w210116,"子部件",n,Lemma
w258257,w258257,"蛺蝶屬",n,Lemma
w195510,w195510,"双壳纲",n,Lemma
w242381,w242381,"证实",n,Lemma
w247316,w247316,"季节性+的",a,Lemma
w202300,w202300,"不留心+的",a,Lemma
w228283,w228283,"支墩",n,Lemma
w212527,w212527,"抛弃",v,Lemma
w204532,w204532,"方布",n,Lemma
w191050,w191050,"注解",v,Lemma
w202907,w202907,"禁止进入",a,Lemma
w213343,w213343,"马尔可夫过程",n,Lemma
w188895,w188895,"一种茄科毒草",n,Lemma
w232174,w232174,"有亲戚关系",a,Lemma
w241855,w241855,"主马达月",n,Lemma
w262970,w262970,"埃塞俄比亚蕉",n,Lemma
w217666,w217666,"杂草丛生+的",a,Lemma
w214357,w214357,"毛野豌豆",n,Lemma
w233760,w233760,"融解",v,Lemma
w197314,w197314,"降临节",n,Lemma
w241732,w241732,"矛盾的事物",n,Lemma
w193078,w193078,"废铁",n,Lemma
w259619,w259619,"数值+的",a,Lemma
w232613,w232613,"出芽酵母",n,Lemma
w228026,w228026,"吸入器",n,Lemma
w189982,w189982,"衰弱",a,Lemma
w261126,w261126,"伦敦东区人",a,Lemma
w211151,w211151,"喋喋不休",a,Lemma
w193454,w193454,"超越一种文化",a,Lemma
w211583,w211583,"玻璃球花",n,Lemma
w264587,w264587,"湿透",a,Lemma
w201771,w201771,"每次只产一卵+的",a,Lemma
w188476,w188476,"那不勒斯",a,Lemma
w225299,w225299,"静电+的",a,Lemma
w235513,w235513,"软沥青",n,Lemma
w231499,w231499,"令人震惊+的",a,Lemma
w190973,w190973,"同语族+的",a,Lemma
w206345,w206345,"芦荟属",n,Lemma
w250391,w250391,"暂停",n,Lemma
w212657,w212657,"声存储器",n,Lemma
w262177,w262177,"马达加斯加",a,Lemma
w223021,w223021,"吹响",v,Lemma
w220025,w220025,"快速的",a,Lemma
w246493,w246493,"超过",r,Lemma
w195098,w195098,"豆素",n,Lemma
w233652,w233652,"王朝+的",a,Lemma
w190749,w190749,"鸡眼草",n,Lemma
w199772,w199772,"无性繁殖系+的",a,Lemma
w219560,w219560,"脊柱后凸",n,Lemma
w241069,w241069,"形态学上+地",r,Lemma
w246943,w246943,"信封",n,Lemma
w222373,w222373,"渐柔和并渐慢的",a,Lemma
w223292,w223292,"光明",a,Lemma
w254595,w254595,"议会",a,Lemma
w202646,w202646,"起泡沫",a,Lemma
w219272,w219272,"土生+的",a,Lemma
w245134,w245134,"脑力",a,Lemma
w261418,w261418,"异常的人",n,Lemma
w209900,w209900,"刺激生殖腺",a,Lemma
w198150,w198150,"亚铁氰化物",n,Lemma
w206272,w206272,"露天体育场",n,Lemma
w239394,w239394,"通气道",n,Lemma
w250863,w250863,"家人游艺室",n,Lemma
w260337,w260337,"舷边",n,Lemma
w236413,w236413,"注索引",v,Lemma
w194576,w194576,"省小钱",a,Lemma
w264423,w264423,"装璜",a,Lemma
w260996,w260996,"相矛盾+的",a,Lemma
w202099,w202099,"黑樱树",n,Lemma
w198175,w198175,"二苯乙内酰脲",n,Lemma
w240625,w240625,"挣扎着前进",v,Lemma
w250968,w250968,"四季节",n,Lemma
w231411,w231411,"脊椎动物",n,Lemma
w201584,w201584,"压缩性骨折",n,Lemma
w191331,w191331,"截瘫",n,Lemma
w190342,w190342,"具有",v,Lemma
w222668,w222668,"孔雀蛱蝶属",n,Lemma
w241122,w241122,"土元素",n,Lemma
w244904,w244904,"烟草属",n,Lemma
w261790,w261790,"美苏冷战",n,Lemma
w234649,w234649,"解密机",n,Lemma
w194110,w194110,"原纤维形成",n,Lemma
w196275,w196275,"分门别类+的",a,Lemma
w255805,w255805,"海绵状+的",a,Lemma
w250732,w250732,"腔棘鱼",n,Lemma
w261044,w261044,"咒逐",v,Lemma
w223317,w223317,"块云母",n,Lemma
w212096,w212096,"淋巴球+的",a,Lemma
w249663,w249663,"令人惊愕+的",a,Lemma
w238405,w238405,"像诗",a,Lemma
w242332,w242332,"迷乱",n,Lemma
w230782,w230782,"暴利",n,Lemma
w210613,w210613,"眼睛突出",a,Lemma
