:ID,synsetId,note,:LABEL
ex_1,eng-10-01785341-a,"grim determination",Example
ex_2,eng-10-01785341-a,"grim necessity",Example
ex_3,eng-10-01785341-a,"Russia's final hour, it seemed, approached with inexorable certainty",Example
ex_4,eng-10-01785341-a,"relentless persecution",Example
ex_5,eng-10-01785341-a,"the stern demands of parenthood",Example
ex_6,eng-10-00102786-a,"double-edged praise",Example
ex_7,eng-10-00307333-r,"he smelled offensively unwashed",Example
ex_8,eng-10-07316856-n,"he finally got his big break",Example
ex_9,eng-10-08438384-n,"they cut down a stand of trees",Example
ex_10,eng-10-07082198-n,"he spoke with a thick tongue",Example
ex_11,eng-10-07082198-n,"she has a glib tongue",Example
ex_12,eng-10-01201574-v,"chaw tobacco",Example
ex_13,eng-10-01439155-a,"a drawn-out argument",Example
ex_14,eng-10-01439155-a,"an extended discussion",Example
ex_15,eng-10-01439155-a,"a lengthy visit from her mother-in-law",Example
ex_16,eng-10-01439155-a,"a prolonged and bitter struggle",Example
ex_17,eng-10-01439155-a,"protracted negotiations",Example
ex_18,eng-10-04391569-n,"he used a piece of tape for a belt",Example
ex_19,eng-10-04391569-n,"he wrapped a tape around the package",Example
ex_20,eng-10-02129709-v,"The artist must first learn to see",Example
ex_21,eng-10-02018372-v,"I have to catch a train at 7 o'clock",Example
ex_22,eng-10-00093593-v,"The prisoner has been languishing for years in the dungeon",Example
ex_23,eng-10-01327301-v,"The mafia liquidated the informer",Example
ex_24,eng-10-01327301-v,"the double agent was neutralized",Example
ex_25,eng-10-01880531-a,"slightly improper to dine alone with a married man",Example
ex_26,eng-10-01880531-a,"improper medication",Example
ex_27,eng-10-01880531-a,"improper attire for the golf course",Example
ex_28,eng-10-00526895-v,"we clinkered the fire frequently",Example
ex_29,eng-10-01034457-a,"foreign nations",Example
ex_30,eng-10-01034457-a,"a foreign accent",Example
ex_31,eng-10-01034457-a,"on business in a foreign city",Example
ex_32,eng-10-07253482-n,"they gave the chairman a vote of confidence",Example
ex_33,eng-10-06830997-n,"he refused to put the initials FRS after his name",Example
ex_34,eng-10-01819390-a,"a plus value",Example
ex_35,eng-10-01819390-a,"temperature of plus 5 degrees",Example
ex_36,eng-10-01819390-a,"a grade of C plus",Example
ex_37,eng-10-00167278-a,"a cute kid with pigtails",Example
ex_38,eng-10-00167278-a,"a cute little apartment",Example
ex_39,eng-10-00167278-a,"cunning kittens",Example
ex_40,eng-10-00167278-a,"a cunning baby",Example
ex_41,eng-10-00835292-a,"gave an impressive performance as Othello",Example
ex_42,eng-10-00835292-a,"a telling gesture",Example
ex_43,eng-10-01873163-a,"deep thoughts",Example
ex_44,eng-10-01873163-a,"a deep allegory",Example
ex_45,eng-10-00423874-a,"a sink full of unwashed dishes",Example
ex_46,eng-10-01442361-v,"the knife cut through the flesh",Example
ex_47,eng-10-01442361-v,"The path pierced the jungle",Example
ex_48,eng-10-01442361-v,"Light pierced through the forest",Example
ex_49,eng-10-02407346-a,"we were really pumped up for the race",Example
ex_50,eng-10-02407346-a,"he was so pumped he couldn't sleep",Example
ex_51,eng-10-02164713-a,"a hole-and-corner life in some obscure community- H.G.Wells",Example
ex_52,eng-10-00582314-a,"only the shine of their metal was distinguishable in the gloom",Example
ex_53,eng-10-00582314-a,"a project distinguishable into four stages of progress",Example
ex_54,eng-10-00582314-a,"distinguishable differences between the twins",Example
ex_55,eng-10-00925866-n,"the granulation of medicines",Example
ex_56,eng-10-00810729-v,"She gets away with murder!",Example
ex_57,eng-10-00810729-v,"I couldn't get out from under these responsibilities",Example
ex_58,eng-10-13441387-n,"he had a bowel movement",Example
ex_59,eng-10-01696346-a,"a dusty pile of books",Example
ex_60,eng-10-00951003-a,"external composure",Example
ex_61,eng-10-00951003-a,"an external concern for reputation- A.R.Gurney,Jr.",Example
ex_62,eng-10-01527271-v,"I squeezed myself into the corner",Example
ex_63,eng-10-02024367-v,"The crowds pressed along the street",Example
ex_64,eng-10-02592147-a,"proactive inhibition",Example
ex_65,eng-10-02592147-a,"proactive interference",Example
ex_66,eng-10-01033458-n,"the offices of the mass",Example
ex_67,eng-10-01498594-a,"nonsense syllables",Example
ex_68,eng-10-01498594-a,"a nonsensical jumble of words",Example
ex_69,eng-10-01082061-n,"welcomed the affiliation of the research center with the university",Example
ex_70,eng-10-01350225-a,"extraneous light in the camera spoiled the photograph",Example
ex_71,eng-10-01350225-a,"relying upon an extraneous income",Example
ex_72,eng-10-01350225-a,"disdaining outside pressure groups",Example
ex_73,eng-10-00225119-r,"there are finitely many solutions to this problem",Example
ex_74,eng-10-03045196-a,"the aspectual system of Greek",Example
ex_75,eng-10-05671974-n,"it requires vigilance on our part",Example
ex_76,eng-10-05671974-n,"they resisted every effort on his part",Example
ex_77,eng-10-06786629-n,"he gave directions faster than she could follow them",Example
ex_78,eng-10-09804053-n,"she was the final arbiter on all matters of fashion",Example
ex_79,eng-10-01057775-a,"odorless gas",Example
ex_80,eng-10-01057775-a,"odorless flowers",Example
ex_81,eng-10-04732852-n,"her love of music remains her one saving grace",Example
ex_82,eng-10-04732852-n,"her sense of humor has to be a saving grace",Example
ex_83,eng-10-04732852-n,"the saving grace for both developments is that they are creating jobs",Example
ex_84,eng-10-00965404-n,"he may accomplish by craft in the long run what he cannot do by force and violence in the short one",Example
ex_85,eng-10-02247390-v,"The painting brought $10,000",Example
ex_86,eng-10-02247390-v,"The old print fetched a high price at the auction",Example
ex_87,eng-10-00383291-a,"sapphire eyes",Example
ex_88,eng-10-01342759-a,"an uninterested spectator",Example
ex_89,eng-10-06431740-n,"he went to carry the Word to the heathen",Example
ex_90,eng-10-01079604-n,"the suppression of heresy",Example
ex_91,eng-10-01079604-n,"the quelling of the rebellion",Example
ex_92,eng-10-01079604-n,"the stifling of all dissent",Example
ex_93,eng-10-02110793-v,"The industry enjoyed a boom",Example
ex_94,eng-10-00532892-a,"an idea comprehensible to the average mind",Example
ex_95,eng-10-00027599-a,"several accepted techniques for treating the condition",Example
ex_96,eng-10-00027599-a,"his recognized superiority in this kind of work",Example
ex_97,eng-10-00326049-v,"pan-fry the dumplings",Example
ex_98,eng-10-00783469-a,"varied motives prompt people to join a political party",Example
ex_99,eng-10-00783469-a,"varied ethnic traditions of the immigrants",Example
ex_100,eng-10-02161016-a,"an autographed copy of his latest book",Example
ex_101,eng-10-00456739-a,"recruits suited in green",Example
ex_102,eng-10-00238037-a,"a bipartite document",Example
ex_103,eng-10-00238037-a,"a two-way treaty",Example
ex_104,eng-10-02387034-v,"He is grooming his son to become his successor",Example
ex_105,eng-10-02387034-v,"The prince was prepared to become King one day",Example
ex_106,eng-10-02387034-v,"They trained him to be a warrior",Example
ex_107,eng-10-00245860-a,"nutbrown hair",Example
ex_108,eng-10-00828003-v,"The minister is not preaching this Sunday",Example
ex_109,eng-10-00696414-v,"she reviewed her achievements with pride",Example
ex_110,eng-10-02032953-a,"my left hand",Example
ex_111,eng-10-02032953-a,"left center field",Example
ex_112,eng-10-02032953-a,"the left bank of a river is bank on your left side when you are facing downstream",Example
ex_113,eng-10-02458262-a,"her expression became progressively more haunted",Example
ex_114,eng-10-02444147-a,"polar regions",Example
ex_115,eng-10-00318143-r,"his benefits were disproportionately generous",Example
ex_116,eng-10-02146525-v,"He is writing his book and is holing up in his study",Example
ex_117,eng-10-02711375-v,"The river was embanked with a dyke",Example
ex_118,eng-10-01649124-v,"mount a campaign against pornography",Example
ex_119,eng-10-01965911-v,"He leapfrogged his classmates",Example
ex_120,eng-10-13862644-n,"the skirt had a wide flare",Example
ex_121,eng-10-01316467-a,"her severe upbringing had left her inhibited",Example
ex_122,eng-10-01316467-a,"a very inhibited young man, anxious and ill at ease",Example
ex_123,eng-10-01316467-a,"their reactions were partly the product of pent-up emotions",Example
ex_124,eng-10-01316467-a,"repressed rage turned his face scarlet",Example
ex_125,eng-10-01362568-v,"plaster the broken arm",Example
ex_126,eng-10-02356048-a,"the oath of office is...demonstrative of the legislative opinion on this subject- John Marshall",Example
ex_127,eng-10-00102791-v,"We salivated when he described the great meal",Example
ex_128,eng-10-02856460-a,"the lyric stage",Example
ex_129,eng-10-05829656-n,"his approval was an added fillip",Example
ex_130,eng-10-00893243-n,"I attended an interesting talk on local history",Example
ex_131,eng-10-01820302-v,"She relished her fame and basked in her glory",Example
ex_132,eng-10-02195191-v,"The smell of the food turned the pregnant woman's stomach",Example
ex_133,eng-10-02195191-v,"The mold on the food sickened the diners",Example
ex_134,eng-10-07139316-n,"his poetry contains much talk about love and anger",Example
ex_135,eng-10-01289083-a,"carefully landscaped gardens",Example
ex_136,eng-10-05679906-n,"his grogginess was caused as much by exhaustion as by the blows",Example
ex_137,eng-10-05679906-n,"someone stole his wallet while he was in a drunken stupor",Example
ex_138,eng-10-02234087-v,"I am allocating a loaf of bread to everyone on a daily basis",Example
ex_139,eng-10-02234087-v,"I'm allocating the rations for the camping trip",Example
ex_140,eng-10-01307020-v,"rake gravel",Example
ex_141,eng-10-00143540-v,"strike an arc",Example
ex_142,eng-10-11455236-n,"we were lucky to be safe when the floodheads hit",Example
ex_143,eng-10-01497594-a,"led a happy purposeful life",Example
ex_144,eng-10-04955633-n,"the brightness of the orange sky was reflected in the dullness of the orange sea",Example
ex_145,eng-10-00855512-v,"She reviews books for the New York Times",Example
ex_146,eng-10-00855512-v,"Please critique this performance",Example
ex_147,eng-10-01782650-v,"I was horrified at the thought of being late for my interview",Example
ex_148,eng-10-01782650-v,"The news of the executions horrified us",Example
ex_149,eng-10-02130160-v,"behold Christ!",Example
ex_150,eng-10-01791756-v,"The thief distracted the bystanders",Example
ex_151,eng-10-01791756-v,"He deflected his competitors",Example
ex_152,eng-10-01243825-a,"a good-natured and hospitable man",Example
ex_153,eng-10-01243825-a,"a hospitable act",Example
ex_154,eng-10-01243825-a,"hospitable invitations",Example
ex_155,eng-10-02207890-v,"He bought back the house that his father sold years ago",Example
ex_156,eng-10-02310895-a,"straight lines",Example
ex_157,eng-10-02310895-a,"straight roads across the desert",Example
ex_158,eng-10-02310895-a,"straight teeth",Example
ex_159,eng-10-02310895-a,"straight shoulders",Example
ex_160,eng-10-07319549-n,"they wished him Godspeed",Example
ex_161,eng-10-00058128-r,"he didn't answer directly",Example
ex_162,eng-10-00058128-r,"told me straight out",Example
ex_163,eng-10-00058128-r,"came out flat for less work and more pay",Example
ex_164,eng-10-01582645-v,"draw a line",Example
ex_165,eng-10-01582645-v,"trace the outline of a figure in the sand",Example
ex_166,eng-10-01362136-v,"he skimcoated the drywall",Example
ex_167,eng-10-00282652-v,"The man's hair silvered very attractively",Example
